country,nm_municipio,direction,pc_votos_validos,year,lat,lon
Colombia,BOGOTÁ,right,0.6909,2014,4.7110053,-74.0720857
Colombia,BOGOTÁ,right,0.6121,2018,4.7110053,-74.0720857
Colombia,BOGOTÁ,left,0.5646,2022,4.7110053,-74.0720857
Costa Rica,SÃO JOSÉ,right,0.7895,2014,-23.1830725,-45.8350731
Costa Rica,SÃO JOSÉ,right,0.7287,2018,-23.1830725,-45.8350731
Costa Rica,SÃO JOSÉ,right,0.5464,2022,-23.1830725,-45.8350731
Croatia,ZAGREB,right,0.8947,2014,45.8130967,15.9772795
Croatia,ZAGREB,right,0.6154,2018,45.8130967,15.9772795
Croatia,ZAGREB,left,0.6341,2022,45.8130967,15.9772795
Cuba,HAVANA,left,0.8673,2014,23.135305,-82.3589631
Cuba,HAVANA,left,0.7308,2018,23.135305,-82.3589631
Cuba,HAVANA,left,1.0,2022,23.135305,-82.3589631
Cyprus,NICOSIA,right,0.7391,2014,35.1746503,33.3638783
Cyprus,NICOSIA,right,0.5909,2018,35.1746503,33.3638783
Cyprus,NICOSIA,left,0.625,2022,35.1746503,33.3638783
Czech Republic,PRAGA,right,0.679,2014,50.0596288,14.4464593
Czech Republic,PRAGA,left,0.5145,2018,50.0596288,14.4464593
Czech Republic,PRAGA,left,0.7967,2022,50.0596288,14.4464593
Democratic Republic of the Congo,KINSHASA,left,0.5556,2014,-4.3217055,15.3125974
Democratic Republic of the Congo,KINSHASA,right,0.6842,2018,-4.3217055,15.3125974
Democratic Republic of the Congo,KINSHASA,right,0.9,2022,-4.3217055,15.3125974
Denmark,COPENHAGUE,left,0.841,2022,,
Denmark,COPENHAGUE-DINA,right,0.5695,2014,,
Denmark,COPENHAGUE-DINA,left,0.6885,2018,,
Dominican Republic,SÃO DOMINGOS,right,0.5079,2014,18.4801972,-69.942111
Dominican Republic,SÃO DOMINGOS,right,0.7731,2018,18.4801972,-69.942111
Dominican Republic,SÃO DOMINGOS,right,0.633,2022,18.4801972,-69.942111
East Timor,DÍLI,right,0.7941,2014,-8.5536809,125.5784093
East Timor,DÍLI,right,0.7105,2018,-8.5536809,125.5784093
East Timor,DÍLI,right,0.6271,2022,-8.5536809,125.5784093
Ecuador,QUITO,right,0.7593,2014,-0.2201641,-78.5123274
Ecuador,QUITO,right,0.7206,2018,-0.2201641,-78.5123274
Ecuador,QUITO,right,0.6892,2022,-0.2201641,-78.5123274
Egypt,CAIRO,right,0.551,2014,30.0443879,31.2357257
Egypt,CAIRO,right,0.5455,2018,30.0443879,31.2357257
Egypt,CAIRO,left,0.6667,2022,30.0443879,31.2357257
El Salvador,SÃO SALVADOR,right,0.7865,2014,13.6989939,-89.1914249
El Salvador,SÃO SALVADOR,right,0.8,2018,13.6989939,-89.1914249
El Salvador,SÃO SALVADOR,right,0.6197,2022,13.6989939,-89.1914249
Estonia,TALIN,left,0.6842,2018,59.4372155,24.7453688
Estonia,TALIN,left,0.8715,2022,59.4372155,24.7453688
Finland,HELSINQUE,right,0.692,2014,60.1588722,24.9578731
Finland,HELSINQUE,left,0.5389,2018,60.1588722,24.9578731
Finland,HELSINQUE,left,0.7315,2022,60.1588722,24.9578731
France,PARIS,right,0.5835,2014,48.8588897,2.320041
France,PARIS,left,0.6945,2018,48.8588897,2.320041
France,PARIS,left,0.8294,2022,48.8588897,2.320041
French Guiana,CAIENA,right,0.5445,2014,4.9371544,-52.3258736
French Guiana,CAIENA,right,0.6329,2018,4.9371544,-52.3258736
French Guiana,CAIENA,right,0.547,2022,4.9371544,-52.3258736
Germany,BERLIM,right,0.5621,2014,52.510885,13.3989367
Germany,BERLIM,left,0.7046,2018,52.510885,13.3989367
Germany,BERLIM,left,0.8599,2022,52.510885,13.3989367
Germany,FRANKFURT,right,0.7049,2014,50.1106444,8.6820917
Germany,FRANKFURT,left,0.5098,2018,50.1106444,8.6820917
