sg_uf,nm_municipio,nr_candidato,nm_urna_candidato,sg_partido,ds_sit_totalizacao,sg_ue,sq_candidato,nm_tipo_destinacao_votos,nm_regiao,pc_votos_validos,qt_votos_nom_validos,qt_votos_concorrentes
AL,MAR VERMELHO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2457,539,2194
AL,MARAGOGI,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.625,8245,13191
AL,MARAGOGI,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.375,4946,13191
AL,MARAVILHA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.732,3748,5120
AL,MARAVILHA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.268,1372,5120
AL,MARECHAL DEODORO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.5048,11840,23453
AL,MARECHAL DEODORO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.4952,11613,23453
AL,MARIBONDO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6451,4486,6954
AL,MARIBONDO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3549,2468,6954
AL,MATA GRANDE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8567,9243,10789
AL,MATA GRANDE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1433,1546,10789
AL,MATRIZ DE CAMARAGIBE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.5073,6011,11849
AL,MATRIZ DE CAMARAGIBE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.4927,5838,11849
AL,MESSIAS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6103,5330,8734
AL,MESSIAS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3897,3404,8734
AL,MINADOR DO NEGRÃO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7867,2265,2879
AL,MINADOR DO NEGRÃO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2133,614,2879
AL,MONTEIRÓPOLIS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8024,3078,3836
AL,MONTEIRÓPOLIS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1976,758,3836
AL,MURICI,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.5572,7262,13034
AL,MURICI,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.4428,5772,13034
AL,NOVO LINO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.5063,2944,5815
AL,NOVO LINO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.4937,2871,5815
AL,OLHO D'ÁGUA DAS FLORES,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.541,5263,9729
AL,OLHO D'ÁGUA DAS FLORES,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.459,4466,9729
AL,OLHO D'ÁGUA DO CASADO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.9175,4170,4545
AL,OLHO D'ÁGUA DO CASADO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.0825,375,4545
AL,OLHO D'ÁGUA GRANDE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8798,2511,2854
AL,OLHO D'ÁGUA GRANDE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1202,343,2854
AL,OLIVENÇA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7516,4266,5676
AL,OLIVENÇA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2484,1410,5676
AL,OURO BRANCO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8078,4421,5473
AL,OURO BRANCO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1922,1052,5473
AL,PALESTINA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8034,2239,2787
AL,PALESTINA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1966,548,2787
AL,PALMEIRA DOS ÍNDIOS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7152,25643,35853
AL,PALMEIRA DOS ÍNDIOS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2848,10210,35853
AL,PARICONHA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8988,4991,5553
AL,PARICONHA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1012,562,5553
AL,PARIPUEIRA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.5707,3589,6289
AL,PARIPUEIRA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.4293,2700,6289
AL,PASSO DE CAMARAGIBE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6903,5043,7305
AL,PASSO DE CAMARAGIBE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3097,2262,7305
AL,PAULO JACINTO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6921,2889,4174
AL,PAULO JACINTO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3079,1285,4174
AL,PENEDO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6906,19536,28289
AL,PENEDO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3094,8753,28289
AL,PIAÇABUÇU,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7467,6218,8327
